"depths","times"
1,1559589000
8,1559589300
13,1559589600
13,1559589900
13,1559590200
13,1559590500
13,1559590800
14,1559591100
14,1559591400
14,1559591700
13,1559592000
11,1559592300
9,1559592600
1,1559592900
