"depths","durations","times","stages"
1,3.43846271644589,0,1
2,26.1101042109095,3.43846271644589,1
3,7.00903630567113,29.5485669273554,1
4,3.71955128812543,36.5576032330265,1
5,4.13729743421859,40.2771545211519,1
6,11.4133601102509,44.4144519553705,1
7,29.7550001822763,55.8278120656215,1
8,69.959828559483,85.5828122478978,1
9,397.878507954258,155.542640807381,1
10,3.57825264464952,553.421148761639,1
11,11.9919720913267,556.999401406288,1
10,17.9603185043801,568.991373497615,1
11,24.6974081301383,586.951692001995,1
12,43.4031014253848,611.649100132133,1
13,37.730071581521,655.052201557518,1
14,6.00415484026871,692.782273139039,1
15,7.52386830314197,698.786427979308,1
15,469.612972683709,706.31029628245,2
16,74.9456205900647,1175.92326896616,2
15,150.372025666611,1250.86888955622,2
15,71.0836442608033,1401.24091522283,3
14,309.853677931936,1472.32455948364,3
13,611.882897080316,1782.17823741557,3
12,7.43931031363809,2394.06113449589,3
13,301.33615639478,2401.50044480953,3
12,507.282352781873,2702.83660120431,3
11,226.261240883793,3210.11895398618,3
10,225.759131900052,3436.38019486997,3
9,186.481329236254,3662.13932677002,3
8,13.0170753341663,3848.62065600628,3
7,33.152221191503,3861.63773134044,3
6,0.231993170819806,3894.78995253195,3
5,41.5987501553768,3895.02194570277,3
6,77.7272982006793,3936.62069585814,3
5,2.59108483828913,4014.34799405882,3
4,4.65685335416265,4016.93907889711,3
3,14.3054584298911,4021.59593225127,3
2,1.45713871440421,4035.90139068117,3
1,Inf,4037.35852939557,3
