"depths","durations","times","stages"
1,21.5798418177879,0,1
2,5.33812731463074,21.5798418177879,1
3,2.55607159037708,26.9179691324187,1
4,51.091501028492,29.4740407227958,1
5,36.7131129603511,80.5655417512878,1
6,19.2703096581204,117.278654711639,1
7,3.19281916719444,136.548964369759,1
8,27.6306351692849,139.741783536954,1
9,43.0986333485044,167.372418706239,1
10,23.7208330452012,210.471052054743,1
11,3.8953323151753,234.191885099944,1
12,48.9899512862978,238.08721741512,1
13,133.848204391814,287.077168701417,1
14,64.7401152880167,420.925373093232,1
14,828.90538834867,485.665488381248,2
14,354.466564800019,1314.57087672992,3
13,122.406755350972,1669.03744152994,3
12,215.19815446406,1791.44419688091,3
11,90.5113548760755,2006.64235134497,3
10,80.1250066618486,2097.15370622104,3
9,4.43895541361553,2177.27871288289,3
8,3.95986222930787,2181.71766829651,3
9,209.976433048934,2185.67753052582,3
8,140.176406721743,2395.65396357475,3
7,42.1278953722122,2535.83037029649,3
6,75.2460257741486,2577.95826566871,3
7,6.05305685564963,2653.20429144285,3
6,66.4900328875688,2659.2573482985,3
5,194.531275753227,2725.74738118607,3
4,50.4252016545984,2920.2786569393,3
3,11.3642007385624,2970.7038585939,3
2,0.995301903689779,2982.06805933246,3
1,Inf,2983.06336123615,3
