"depths","durations","times","stages"
1,40.3642881458817,0,1
2,15.6959019197348,40.3642881458817,1
3,16.3048252967025,56.0601900656164,1
4,0.38360690715767,72.365015362319,1
5,27.6680576521203,72.7486222694767,1
6,79.500898171681,100.416679921597,1
7,11.3274572017525,179.917578093278,1
8,31.1069073519548,191.245035295031,1
9,158.034296979389,222.351942646985,1
10,0.96701728686628,380.386239626375,1
11,61.8955989750751,381.353256913241,1
12,61.1069404129187,443.248855888316,1
13,146.385294848936,504.355796301235,1
14,169.309898909869,650.741091150171,1
14,345.109932450445,820.050990060039,2
15,554.118446888129,1165.16092251048,2
15,92.0521808737224,1719.27936939861,3
14,131.86346994178,1811.33155027234,3
13,238.285969554331,1943.19502021412,3
14,311.561369829729,2181.48098976845,3
13,743.798261117241,2493.04235959818,3
12,365.694352670823,3236.84062071542,3
11,188.190068087637,3602.53497338624,3
10,52.4677136357373,3790.72504147388,3
9,236.681407521426,3843.19275510962,3
8,94.9531649504725,4079.87416263104,3
9,57.4453534433542,4174.82732758151,3
8,84.0917138189916,4232.27268102487,3
7,35.8861377250932,4316.36439484386,3
8,26.1100534770485,4352.25053256895,3
7,75.024020076753,4378.360586046,3
6,79.4291611613935,4453.38460612275,3
5,19.7878782825846,4532.81376728415,3
6,137.914258806173,4552.60164556673,3
5,17.635487532908,4690.51590437291,3
6,48.0945866609336,4708.15139190581,3
5,31.029003150742,4756.24597856675,3
4,7.88918487253795,4787.27498171749,3
3,34.7253157777031,4795.16416659003,3
2,9.34499841415163,4829.88948236773,3
1,Inf,4839.23448078188,3
