"depths","durations","times","stages"
1,12.5278237979251,0,1
2,0.311795251558131,12.5278237979251,1
3,3.56682439904691,12.8396190494833,1
4,2.45664822351601,16.4064434485302,1
5,15.1731552556157,18.8630916720462,1
6,21.6795035460911,34.0362469276619,1
7,63.8473272708772,55.715750473753,1
8,16.520229802053,119.56307774463,1
9,8.86977501601601,136.083307546683,1
10,77.2630479513092,144.953082562699,1
11,14.7699351525969,222.216130514008,1
12,68.887159871638,236.986065666605,1
13,29.8804923612624,305.873225538243,1
14,31.9807318598032,335.753717899506,1
15,15.7164543951078,367.734449759309,1
16,99.4394026435569,383.450904154417,1
15,72.5359061412347,482.890306797974,1
15,930.500165861183,555.426212939208,2
15,94.5839457182835,1485.92637880039,3
14,76.0166067083617,1580.51032451867,3
13,67.2267783072302,1656.52693122704,3
12,47.9647014907096,1723.75370953427,3
11,140.000972868542,1771.71841102498,3
10,15.5026160564739,1911.71938389352,3
9,209.66231066491,1927.22199994999,3
8,71.1214375491945,2136.8843106149,3
7,2.85313586610073,2208.0057481641,3
6,16.531412099333,2210.8588840302,3
5,101.449294159736,2227.39029612953,3
4,15.0807206510194,2328.83959028927,3
3,66.7508884089393,2343.92031094029,3
2,20.0204814698686,2410.67119934922,3
1,Inf,2430.69168081909,3
