"depths","durations","times","stages"
1,72.4753427545335,0,1
2,3.888864548256,72.4753427545335,1
3,4.17188326168495,76.3642073027895,1
4,2.17690820055496,80.5360905644744,1
5,5.49928744633992,82.7129987650294,1
6,26.9345370311651,88.2122862113693,1
7,18.1553789621426,115.146823242534,1
8,1.34963568158827,133.302202204677,1
7,11.4498607840182,134.651837886265,1
8,16.6721837207054,146.101698670283,1
9,41.3753316766813,162.773882390989,1
10,41.2810768350205,204.14921406767,1
11,1.48054543468686,245.430290902691,1
12,31.7488567644937,246.910836337378,1
11,16.1822115950267,278.659693101871,1
12,91.980665365816,294.841904696898,1
13,69.9009036707381,386.822570062714,1
14,44.0797212179295,456.723473733452,1
15,55.8647202379588,500.803194951382,1
16,0.744641139172018,556.66791518934,1
15,82.4929006269158,557.412556328512,1
16,2.76341306853408,639.905456955428,1
16,589.931593252776,642.668870023962,2
15,317.721381236281,1232.60046327674,2
15,122.015268437012,1550.32184451302,3
14,209.009593490099,1672.33711295003,3
13,73.77393011547,1881.34670644013,3
12,14.0026349919692,1955.1206365556,3
11,9.8615020591144,1969.12327154757,3
10,97.6535799249809,1978.98477360668,3
9,11.759896195219,2076.63835353166,3
8,22.7821132866666,2088.39824972688,3
7,82.6406040349116,2111.18036301355,3
6,3.22562484473883,2193.82096704846,3
5,5.61573892831802,2197.0465918932,3
4,5.68551300481568,2202.66233082152,3
3,5.08578678187268,2208.34784382633,3
2,0.924459109082818,2213.43363060821,3
1,Inf,2214.35808971729,3
