"depths","durations","times","stages"
1,6.74744569670616,0,1
2,1.04323568095026,6.74744569670616,1
3,14.9620440628796,7.79068137765642,1
4,8.6901870672591,22.752725440536,1
5,6.76187266906103,31.4429125077951,1
6,12.9466374032199,38.2047851768561,1
7,7.75804360293679,51.1514225800761,1
8,40.9137698140117,58.9094661830128,1
9,2.30929127661511,99.8232359970245,1
10,40.5799801818696,102.13252727364,1
11,187.934935083591,142.712507455509,1
12,79.9189282686748,330.6474425391,1
13,16.3050191451071,410.566370807775,1
14,154.557245497135,426.871389952882,1
15,17.7188179618163,581.428635450016,1
15,667.999666820244,599.147453411833,2
14,283.434214415029,1267.14712023208,2
15,36.0572043260354,1550.58133464711,2
15,182.315571110143,1586.63853897314,3
14,250.586066697831,1768.95411008328,3
13,116.932791846532,2019.54017678112,3
12,117.281218951377,2136.47296862765,3
11,31.5747143467888,2253.75418757902,3
10,2.97874359413981,2285.32890192581,3
9,91.2313244650213,2288.30764551995,3
8,4.15250032286485,2379.53896998497,3
7,29.5042291360887,2383.69147030784,3
6,119.890763020111,2413.19569944393,3
5,90.2695607705405,2533.08646246404,3
4,12.725674547255,2623.35602323458,3
3,10.9069494711002,2636.08169778183,3
2,5.8897100588847,2646.98864725293,3
1,Inf,2652.87835731182,3
