"depths","times","stages.est"
1,1559382000,1
10,1559382300,1
14,1559382600,2
14,1559382900,2
14,1559383200,2
14,1559383500,2
14,1559383800,2
14,1559384100,2
14,1559384400,2
14,1559384700,2
13,1559385000,3
10,1559385300,3
5,1559385600,3
1,1559385900,3
