"depths","times","stages.est"
1,1558858500,1
5,1558858800,1
11,1558859100,1
14,1558859400,2
15,1558859700,2
14,1558860000,2
13,1558860300,2
13,1558860600,2
14,1558860900,2
13,1558861200,2
13,1558861500,3
11,1558861800,3
6,1558862100,3
3,1558862400,3
