"depths","times","stages.est"
1,1559768400,1
9,1559768700,1
13,1559769000,2
15,1559769300,2
15,1559769600,2
15,1559769900,2
15,1559770200,2
14,1559770500,2
14,1559770800,2
14,1559771100,3
12,1559771400,3
9,1559771700,3
1,1559772000,3
