"depths","times","stages.est"
1,1558812300,1
10,1558812600,1
14,1558812900,2
15,1558813200,2
15,1558813500,2
15,1558813800,2
15,1558814100,2
14,1558814400,2
14,1558814700,2
14,1558815000,2
14,1558815300,3
12,1558815600,3
10,1558815900,3
8,1558816200,3
1,1558816500,3
