"depths","times","stages.est"
1,1559705400,1
6,1559705700,1
12,1559706000,1
14,1559706300,2
14,1559706600,2
14,1559706900,2
14,1559707200,2
14,1559707500,2
14,1559707800,2
13,1559708100,3
11,1559708400,3
4,1559708700,3
