"depths","times","stages.est"
1,1559227500,1
9,1559227800,1
13,1559228100,2
15,1559228400,2
15,1559228700,2
15,1559229000,2
15,1559229300,2
15,1559229600,2
15,1559229900,2
13,1559230200,2
12,1559230500,3
9,1559230800,3
3,1559231100,3
