"depths","times","stages.est"
1,1559236800,1
9,1559237100,1
13,1559237400,2
15,1559237700,2
15,1559238000,2
15,1559238300,2
15,1559238600,2
15,1559238900,2
15,1559239200,2
15,1559239500,2
14,1559239800,3
12,1559240100,3
10,1559240400,3
8,1559240700,3
1,1559241000,3
