"depths","times","stages.est"
1,1559402100,1
10,1559402400,1
14,1559402700,2
14,1559403000,2
14,1559403300,2
14,1559403600,2
14,1559403900,2
14,1559404200,2
14,1559404500,2
13,1559404800,3
11,1559405100,3
4,1559405400,3
