"depths","times","stages.est"
1,1559009700,1
3,1559010000,1
10,1559010300,1
14,1559010600,2
15,1559010900,2
15,1559011200,2
15,1559011500,2
15,1559011800,2
15,1559012100,2
13,1559012400,3
10,1559012700,3
4,1559013000,3
1,1559013300,3
