"depths","times","stages.est"
1,1558656300,1
2,1558656600,1
10,1558656900,1
14,1558657200,2
16,1558657500,2
16,1558657800,2
16,1558658100,2
16,1558658400,2
16,1558658700,2
16,1558659000,2
15,1558659300,3
13,1558659600,3
9,1558659900,3
1,1558660200,3
