"depths","times","stages.est"
1,1558697400,1
6,1558697700,1
12,1558698000,1
14,1558698300,2
15,1558698600,2
15,1558698900,2
15,1558699200,2
15,1558699500,2
15,1558699800,2
14,1558700100,2
14,1558700400,3
12,1558700700,3
10,1558701000,3
1,1558701300,3
