"depths","times","stages.est"
1,1558929900,1
5,1558930200,1
12,1558930500,1
14,1558930800,2
14,1558931100,2
14,1558931400,2
14,1558931700,2
14,1558932000,2
14,1558932300,2
14,1558932600,2
13,1558932900,3
9,1558933200,3
1,1558933500,3
