"depths","times","stages.est"
1,1559268900,1
9,1559269200,1
13,1559269500,1
16,1559269800,2
16,1559270100,2
16,1559270400,2
15,1559270700,2
16,1559271000,2
14,1559271300,3
12,1559271600,3
6,1559271900,3
2,1559272200,3
1,1559272500,3
