"depths","times","stages.est"
1,1559016300,1
9,1559016600,1
13,1559016900,2
14,1559017200,2
14,1559017500,2
14,1559017800,2
14,1559018100,2
14,1559018400,3
11,1559018700,3
4,1559019000,3
1,1559019300,3
