"depths","times","stages.est"
1,1559368200,1
9,1559368500,1
13,1559368800,2
14,1559369100,2
14,1559369400,2
14,1559369700,2
14,1559370000,2
14,1559370300,2
14,1559370600,3
12,1559370900,3
7,1559371200,3
1,1559371500,3
