"depths","times","stages.est"
1,1558791600,1
7,1558791900,1
12,1558792200,1
15,1558792500,2
15,1558792800,2
15,1558793100,2
15,1558793400,2
14,1558793700,2
15,1558794000,2
14,1558794300,2
13,1558794600,2
13,1558794900,3
12,1558795200,3
10,1558795500,3
3,1558795800,3
