"depths","times","stages.est"
1,1559133900,1
7,1559134200,1
12,1559134500,1
14,1559134800,2
15,1559135100,2
15,1559135400,2
15,1559135700,2
15,1559136000,2
15,1559136300,2
14,1559136600,2
13,1559136900,2
12,1559137200,3
9,1559137500,3
1,1559137800,3
