"depths","times","stages.est"
1,1558671900,1
9,1558672200,1
13,1558672500,2
15,1558672800,2
14,1558673100,2
14,1558673400,2
15,1558673700,2
14,1558674000,2
14,1558674300,3
12,1558674600,3
6,1558674900,3
2,1558675200,3
