"depths","times","stages.est"
1,1559457300,1
9,1559457600,1
13,1559457900,1
15,1559458200,2
15,1559458500,2
15,1559458800,2
15,1559459100,2
15,1559459400,2
15,1559459700,2
14,1559460000,3
13,1559460300,3
10,1559460600,3
1,1559460900,3
