"center","halfwidth"
14.7878572696609,14.998127605118
44.634297887449,15.5056966438518
73.9740813065862,16.0046494622939
103.647612284751,16.5092779969757
148.240369252619,31.7528735310063
207.436002130304,32.2511476202443
266.643706728209,32.7495233221369
325.854074205574,33.2479214385856
414.791585300905,64.1423982845392
533.611752174685,65.2895953086548
651.964139889934,66.4322759710052
770.12213740458,67.5730798150887
948.454287235931,128.454696218262
1185.29575714539,130.903057405089
1422.15196165454,133.351570911619
1659.17308716492,135.801789297696
