"depths","times","stages"
1,0,1
4,60,1
7,120,1
8,180,1
8,240,1
9,300,1
9,360,1
10,420,1
12,480,1
13,540,1
13,600,1
13,660,1
13,720,1
13,780,1
13,840,1
13,900,1
13,960,1
13,1020,1
14,1080,1
14,1140,1
14,1200,2
14,1260,2
14,1320,2
14,1380,2
14,1440,2
14,1500,2
14,1560,2
14,1620,2
14,1680,2
14,1740,2
14,1800,2
14,1860,2
14,1920,2
14,1980,2
14,2040,2
14,2100,2
14,2160,2
14,2220,2
14,2280,2
14,2340,2
14,2400,2
14,2460,2
14,2520,2
14,2580,2
14,2640,2
14,2700,2
14,2760,2
14,2820,2
14,2880,2
14,2940,2
14,3000,2
13,3060,2
13,3120,3
13,3180,3
13,3240,3
12,3300,3
10,3360,3
9,3420,3
9,3480,3
9,3540,3
7,3600,3
7,3660,3
6,3720,3
5,3780,3
4,3840,3
4,3900,3
3,3960,3
2,4020,3
2,4080,3
1,4140,3
