"depths","times","stages"
1,0,1
7,60,1
7,120,1
10,180,1
11,240,1
11,300,1
12,360,2
12,420,2
12,480,2
12,540,2
12,600,2
12,660,2
12,720,2
13,780,2
13,840,2
13,900,2
13,960,2
13,1020,2
13,1080,2
13,1140,2
13,1200,2
13,1260,2
13,1320,2
13,1380,3
13,1440,3
13,1500,3
13,1560,3
13,1620,3
13,1680,3
13,1740,3
14,1800,3
14,1860,3
13,1920,3
13,1980,3
13,2040,3
13,2100,3
13,2160,3
13,2220,3
13,2280,3
13,2340,3
13,2400,3
12,2460,3
12,2520,3
12,2580,3
12,2640,3
12,2700,3
12,2760,3
10,2820,3
10,2880,3
10,2940,3
10,3000,3
10,3060,3
10,3120,3
10,3180,3
10,3240,3
10,3300,3
10,3360,3
10,3420,3
10,3480,3
10,3540,3
9,3600,3
9,3660,3
7,3720,3
6,3780,3
5,3840,3
1,3900,3
