"depths","durations","times","stages"
1,21.2725917573206,0,1
2,9.6961795196272,21.2725917573206,1
3,14.8216972299047,30.9687712769478,1
4,19.6472618135903,45.7904685068525,1
3,0.78054905282427,65.4377303204428,1
4,16.7182646529577,66.218279373267,1
5,3.30789160728455,82.9365440262248,1
6,37.4222085729178,86.2444356335093,1
7,25.7338227874546,123.666644206427,1
8,9.82199511002926,149.400466993882,1
7,23.3811051151022,159.222462103911,1
8,28.0106414716347,182.603567219013,1
9,1.96192370362047,210.614208690648,1
10,86.2914325045635,212.576132394268,1
11,65.097840996763,298.867564898832,1
12,16.4809330848021,363.965405895595,1
11,13.0381316196624,380.446338980397,1
12,21.245015669437,393.484470600059,1
13,46.5962741188705,414.729486269496,1
14,162.054819015829,461.325760388367,1
15,4.76152517709409,623.380579404195,1
16,55.2853302498906,628.14210458129,1
16,1052.39765519986,683.42743483118,2
16,14.0655905858148,1735.82509003104,3
15,83.252480761148,1749.89068061685,3
14,435.577990177713,1833.143161378,3
13,395.06439784411,2268.72115155571,3
12,45.7747163216118,2663.78554939982,3
11,100.588780473323,2709.56026572143,3
10,90.8313306776508,2810.14904619476,3
11,129.505875631573,2900.98037687241,3
10,22.9424150433624,3030.48625250398,3
9,122.514249133978,3053.42866754734,3
10,47.8247686440591,3175.94291668132,3
9,10.0413408654276,3223.76768532538,3
8,48.8714823705895,3233.80902619081,3
9,82.0422914053779,3282.6805085614,3
8,218.841354698785,3364.72279996678,3
7,32.598449557554,3583.56415466556,3
6,2.39877618732862,3616.16260422312,3
7,185.422818631607,3618.56138041044,3
6,290.475839347042,3803.98419904205,3
5,55.8858640280496,4094.46003838909,3
4,2.18885482172482,4150.34590241714,3
3,90.735290822985,4152.53475723887,3
2,39.6796610845686,4243.27004806185,3
1,Inf,4282.94970914642,3
