"depths","durations","times","stages"
1,68.3115468006504,0,1
2,75.7358777496702,68.3115468006504,1
3,17.1513382710662,144.047424550321,1
4,7.84531058033053,161.198762821387,1
5,0.461506663346313,169.044073401717,1
6,41.3839159670159,169.505580065064,1
7,34.6058824814149,210.889496032079,1
8,2.80392179777667,245.495378513494,1
9,84.8505712219303,248.299300311271,1
10,76.9646072259968,333.149871533201,1
11,20.1778689079871,410.114478759198,1
12,63.6409861682642,430.292347667185,1
13,18.2557565137378,493.93333383545,1
14,21.4635729125505,512.189090349187,1
15,156.311398002489,533.652663261738,1
15,962.736343809098,689.964061264227,2
15,8.80214518936077,1652.70040507332,3
14,152.39574623345,1661.50255026269,3
13,278.380095862029,1813.89829649614,3
12,14.4943792078657,2092.27839235816,3
11,23.512219352936,2106.77277156603,3
10,174.011438977016,2130.28499091897,3
9,566.965404385957,2304.29642989598,3
8,58.775849645745,2871.26183428194,3
7,114.647225817427,2930.03768392768,3
6,178.056546133553,3044.68490974511,3
7,54.3172880783518,3222.74145587866,3
8,17.2282534096917,3277.05874395702,3
9,209.201574982653,3294.28699736671,3
8,83.6151119844731,3503.48857234936,3
7,53.9649853152032,3587.10368433383,3
6,32.7036733245614,3641.06866964904,3
7,112.155709788003,3673.7723429736,3
6,33.0661688532191,3785.9280527616,3
5,64.5992057253411,3818.99422161482,3
4,76.8324929693545,3883.59342734016,3
5,41.380132197597,3960.42592030952,3
4,57.7092927995918,4001.80605250711,3
3,45.2582372883467,4059.5153453067,3
2,36.1002287770525,4104.77358259505,3
1,Inf,4140.8738113721,3
