"depths","durations","times","stages"
1,15.4409601922762,0,1
2,16.8715000890925,15.4409601922762,1
3,0.597024017583323,32.3124602813687,1
4,3.79837846073011,32.909484298952,1
5,1.99061742424965,36.7078627596821,1
6,142.726369161365,38.6984801839318,1
7,8.02066022271967,181.424849345297,1
8,29.1391638404036,189.445509568017,1
9,57.2282385051357,218.58467340842,1
10,197.57263070726,275.812911913556,1
11,79.2492543008733,473.385542620816,1
12,120.830797172281,552.634796921689,1
13,107.735381491016,673.46559409397,1
14,103.376501647798,781.200975584986,1
15,27.0971452031674,884.577477232784,1
15,518.892895463237,911.674622435952,2
16,86.8331661985176,1430.56751789919,2
15,215.846993125202,1517.40068409771,2
15,114.017522663344,1733.24767722291,3
16,491.172920681217,1847.26519988625,3
15,256.19733904445,2338.43812056747,3
14,3.86583429898064,2594.63545961192,3
13,306.850214812454,2598.5012939109,3
12,59.3460996000795,2905.35150872335,3
11,108.363366796972,2964.69760832343,3
10,122.687302852904,3073.0609751204,3
9,181.136385776626,3195.74827797331,3
8,124.781510787422,3376.88466374993,3
7,24.9137232895009,3501.66617453736,3
6,7.43102480482776,3526.57989782686,3
5,1.73225557431579,3534.01092263168,3
4,5.6925208142934,3535.743178206,3
3,32.1194175230576,3541.43569902029,3
2,32.7630115101551,3573.55511654335,3
1,Inf,3606.31812805351,3
