"depths","durations","times","stages"
1,15.6101089939806,0,1
2,16.3501690339719,15.6101089939806,1
3,5.71751075927084,31.9602780279525,1
4,15.1242889660158,37.6777887872233,1
5,0.334565379001418,52.8020777532391,1
6,7.33626200972746,53.1366431322405,1
7,16.6031338596877,60.472905141968,1
8,84.8238036615364,77.0760390016557,1
9,24.4912916747853,161.899842663192,1
10,177.294239471731,186.391134337977,1
11,43.1065415342649,363.685373809708,1
12,18.9459786517546,406.791915343973,1
13,18.2356966027671,425.737893995727,1
13,457.00021860888,443.973590598495,2
14,431.587111545567,900.973809207375,2
14,422.872143995643,1332.56092075294,3
15,650.432985500275,1755.43306474858,3
14,265.255692907485,2405.86605024886,3
13,551.226425172933,2671.12174315635,3
12,69.3512518308125,3222.34816832928,3
11,153.267110459843,3291.69942016009,3
10,98.2932406497448,3444.96653061993,3
9,114.835822992754,3543.25977126968,3
10,154.561348918132,3658.09559426243,3
9,144.629312353936,3812.65694318056,3
8,14.9511841077688,3957.2862555345,3
7,98.4273036034392,3972.23743964227,3
6,11.9413875550913,4070.66474324571,3
5,85.5058821240323,4082.6061308008,3
4,8.26946139568463,4168.11201292483,3
3,41.7423559029594,4176.38147432052,3
2,63.3876566364806,4218.12383022348,3
1,Inf,4281.51148685996,3
