"depths","durations","times","stages"
1,6.90389075068136,0,1
2,7.35692003494364,6.90389075068136,1
3,19.4039553523317,14.260810785625,1
4,9.7444748003853,33.6647661379567,1
5,34.9162785993485,43.409240938342,1
6,40.9003853132264,78.3255195376905,1
7,0.345304794609547,119.225904850917,1
8,32.7108666704436,119.571209645526,1
9,11.5287940996969,152.28207631597,1
8,17.4724127321194,163.810870415667,1
9,50.9487780348861,181.283283147786,1
10,57.6295643395902,232.232061182672,1
9,111.006895447305,289.861625522263,1
10,49.0807793112685,400.868520969567,1
11,43.0481450632215,449.949300280836,1
12,164.697574086526,492.997445344057,1
13,26.8471870288761,657.695019430583,1
13,151.566294072246,684.542206459459,2
14,179.054829915985,836.108500531705,2
15,648.648106967684,1015.16333044769,2
14,37.9019685377837,1663.81143741537,2
14,6.64345005431255,1701.71340595316,3
13,108.259617271833,1708.35685600747,3
12,15.5192977190018,1816.6164732793,3
11,8.52101820876669,1832.13577099831,3
10,18.7989427743014,1840.65678920707,3
9,232.651575074123,1859.45573198137,3
8,24.8047480999958,2092.1073070555,3
7,105.302801286712,2116.91205515549,3
6,29.0548651578138,2222.2148564422,3
5,10.5622596479952,2251.26972160002,3
4,24.8967625362243,2261.83198124801,3
3,9.2088914103806,2286.72874378424,3
2,90.7029969194782,2295.93763519462,3
1,Inf,2386.6406321141,3
